TITULO_ORIGINAL;CRT;DATA_REQUERIMENTO_CRT;DATA_EMISSAO_CRT;DATA_VALIDADE_CRT;SITUACAO_CRT;PAIS;PRODUTO_SERVICO_ANUNCIADO;TIPO_PUBLICIDADE;QTD_VERSOES;CRTS_VERSOES;CLASSIFICACAO_OBRA;SEGMENTO;DURACAO_SEGUNDOS;PRODUTOR;DIRETOR;AGENCIA;CNPJ_AGENCIA;ANUNCIANTE;CNPJ_ANUNCIANTE;REQUERENTE;REGISTRO_ANCINE_REQUERENTE;CNPJ_REQUERENTE;UF_REQUERENTE;MUNICIPIO_REQUERENTE
Morning Call XP - Episódio 17;20200185670000;23/06/2020;24/06/2020;23/06/2021;EXPIRADO;;Banco de Investimentos;COMUM;;;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);53;PDJ PRODUCOES LTDA;GABRIEL FRAGUGLIA MUSSOLINO LIMA;ACCENTURE AGENCIA INTERATIVA LTDA;11.174.561/0001-23;XP INVESTIMENTOS CCTVM S.A.;02.332.886/0001-04;PDJ PRODUCOES LTDA;35819;18.126.845/0001-93;SP;SAO PAULO
Morning Call XP - Episódio 18;20200187630006;24/06/2020;25/06/2020;24/06/2021;EXPIRADO;;Banco de Investimentos;COMUM;;;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);59;PDJ PRODUCOES LTDA;GABRIEL FRAGUGLIA MUSSOLINO LIMA;ACCENTURE AGENCIA INTERATIVA LTDA;11.174.561/0001-23;XP INVESTIMENTOS CCTVM S.A.;02.332.886/0001-04;PDJ PRODUCOES LTDA;35819;18.126.845/0001-93;SP;SAO PAULO
Morning Call XP - Episódio 19;20200189000000;25/06/2020;26/06/2020;25/06/2021;EXPIRADO;;Banco de Investimentos;COMUM;;;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);49;PDJ PRODUCOES LTDA;GABRIEL FRAGUGLIA MUSSOLINO LIMA;ACCENTURE AGENCIA INTERATIVA LTDA;11.174.561/0001-23;XP INVESTIMENTOS CCTVM S.A.;02.332.886/0001-04;PDJ PRODUCOES LTDA;35819;18.126.845/0001-93;SP;SAO PAULO
Morning Call XP - Episódio 20;20200190250006;26/06/2020;27/06/2020;26/06/2021;EXPIRADO;;Banco de Investimentos;COMUM;;;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);56;PDJ PRODUCOES LTDA;GABRIEL FRAGUGLIA MUSSOLINO LIMA;ACCENTURE AGENCIA INTERATIVA LTDA;11.174.561/0001-23;XP INVESTIMENTOS CCTVM S.A.;02.332.886/0001-04;PDJ PRODUCOES LTDA;35819;18.126.845/0001-93;SP;SAO PAULO
Morning Call XP - Episódio 3;20200166500006;03/06/2020;04/06/2020;03/06/2021;EXPIRADO;;Banco de Investimentos;COMUM;;;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);58;PDJ PRODUCOES LTDA;GABRIEL FRAGUGLIA MUSSOLINO LIMA;ACCENTURE AGENCIA INTERATIVA LTDA;11.174.561/0001-23;XP INVESTIMENTOS CCTVM S.A.;02.332.886/0001-04;PDJ PRODUCOES LTDA;35819;18.126.845/0001-93;SP;SAO PAULO
Movimenta em Casa;20200161280008;28/05/2020;13/06/2020;28/05/2021;EXPIRADO;;Rexona Masterbrand;COMUM;5;20200161280013|20200161280021|20200161280030|20200161280048|20200161280056;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;TODOS OS SEGMENTOS DE MERCADO;60;TRATOR FILMES LTDA;ALEXANDRE HENRIQUE PIREZ;MULLEN LOWE BRASIL PUBLICIDADE LTDA;61.067.377/0001-52;UNILEVER BRASIL LTDA;61.068.276/0001-04;TRATOR FILMES LTDA;12965;08.164.917/0001-33;SP;SAO PAULO
Movimenta em Casa;20200161280008;28/05/2020;13/06/2020;28/05/2021;EXPIRADO;;Rexona Masterbrand;COMUM;5;20200161280013|20200161280021|20200161280030|20200161280048|20200161280056;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;TODOS OS SEGMENTOS DE MERCADO;60;TRATOR FILMES LTDA;RAFAEL FERREIRA DE ANDRADE;MULLEN LOWE BRASIL PUBLICIDADE LTDA;61.067.377/0001-52;UNILEVER BRASIL LTDA;61.068.276/0001-04;TRATOR FILMES LTDA;12965;08.164.917/0001-33;SP;SAO PAULO
Movimento Supera Turismo Brasil;20200172650006;09/06/2020;10/06/2020;09/06/2021;EXPIRADO;;Turismo;COMUM;5;20200172650011|20200172650020|20200172650038|20200172650046|20200172650054;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;TODOS OS SEGMENTOS DE MERCADO;60;RM3 PRODUÇÕES TELEVISIVAS, COMÉRCIO E MULTIMIDIA LTDA;RICARDO MUNER LEME DE OLIVEIRA;;NÃO INFORMADO;TOUR HOUSE - VIAGENS E TURISMO LTDA.;64.601.925/0001-70;RM3 PRODUÇÕES TELEVISIVAS, COMÉRCIO E MULTIMIDIA LTDA;746;03.146.813/0001-82;SP;BRAGANCA PAULISTA
Multimagem;20200176080000;12/06/2020;12/06/2020;12/06/2021;EXPIRADO;;Clinica médica;COMUM;5;20200176080015|20200176080023|20200176080031|20200176080040|20200176080058;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);60;BULB PRODUTORA LTDA - ME;IAGO SARMENTO NUNO;;NÃO INFORMADO;INSTITUTO DE HEMATOLOGIA DE FEIRA DE SANTANA LTDA;34.420.356/0001-04;BULB PRODUTORA LTDA - ME;26992;18.741.266/0001-50;BA;SALVADOR
Music Land - Apresenta;20200187970001;24/06/2020;24/06/2020;24/06/2021;EXPIRADO;;evento;COMUM;;;OBRA AUDIOVISUAL PUBLICITÁRIA BRASILEIRA FILMADA/GRAVADA NO BRASIL;TODOS OS SEGMENTOS DE MERCADO;30;THIAGO MUNIZ CAIRES;THIAGO MUNIZ CAIRES;;NÃO INFORMADO;CIA CATARINENSE DE RADIO E TELEVISAO;82.611.617/0001-08;THIAGO MUNIZ CAIRES;25360;17.960.126/0001-00;SC;ARROIO TRINTA
